INPUT:id	INPUT:url	INPUT:name	INPUT:text	INPUT:title
15	https://ilibrary.ru/text/475/p.1/index.html	Захар, слуга Обломова	Обломов с упреком поглядел на него, покачал головой и вздохнул, а Захар равнодушно поглядел в окно и тоже вздохнул. Барин, кажется, думал: «Ну, брат, ты еще больше Обломов, нежели я сам», а Захар чуть ли не подумал: «Врешь! ты только мастер говорить мудреные да жалкие слова, а до пыли и до паутины тебе и дела нет». — Понимаешь ли ты, — сказал Илья Ильич, — что от пыли заводится моль? Я иногда даже вижу клопа на стене! — У меня и блохи есть! — равнодушно отозвался Захар. — Разве это хорошо? Ведь это гадость! — заметил Обломов. Захар усмехнулся во все лицо, так что усмешка охватила даже брови и бакенбарды, которые от этого раздвинулись в стороны, и по всему лицу до самого лба расплылось красное пятно. — Чем же я виноват, что клопы на свете есть? — сказал он с наивным удивлением. — Разве я их выдумал? — Это от нечистоты, — перебил Обломов. — Что ты все врешь! — И нечистоту не я выдумал. — У тебя вот там мыши бегают по ночам — я слышу. — И мышей не я выдумал. Этой твари, что мышей, что кошек, что клопов, везде много.	Обломов
6	https://ilibrary.ru/text/96/p.2/index.html	Николай Петрович Кирсанов	"Глава 2
— Дай же отряхнуться, папаша, — говорил несколько сиплым от дороги, но звонким юношеским голосом Аркадий, весело отвечая на отцовские ласки, — я тебя всего запачкаю.
— Ничего, ничего, — твердил, умиленно улыбаясь, Николай Петрович и раза два ударил рукою по воротнику сыновней шинели и по собственному пальто. — Покажи-ка себя, покажи-ка, — прибавил он, отодвигаясь, и тотчас же пошел торопливыми шагами к постоялому двору, приговаривая: «Вот сюда, сюда, да лошадей поскорее».
Николай Петрович казался гораздо встревоженнее своего сына; он словно потерялся немного, словно робел. Аркадий остановил его.
— Папаша, — сказал он, — позволь познакомить тебя с моим добрым приятелем, Базаровым, о котором я тебе так часто писал. Он так любезен, что согласился погостить у нас.
Николай Петрович быстро обернулся и, подойдя к человеку высокого роста в длинном балахоне с кистями, только что вылезшему из тарантаса, крепко стиснул его обнаженную красную руку, которую тот не сразу ему подал.
— Душевно рад, — начал он, — и благодарен за доброе намерение посетить нас; надеюсь... позвольте узнать ваше имя и отчество?
— Евгений Васильев, — отвечал Базаров ленивым, но мужественным голосом и, отвернув воротник балахона, показал Николаю Петровичу все свое лицо. Длинное и худое, с широким лбом, кверху плоским, книзу заостренным носом, большими зеленоватыми глазами и висячими бакенбардами песочного цвету, оно оживлялось спокойной улыбкой и выражало самоуверенность и ум."	Отца и дети
11	https://ilibrary.ru/text/439/p.3/index.html	Катерина Львовна Измайлова	Глава 3 Теплые молочные сумерки стояли над городом. Зиновий Борисыч еще не возвращался с попрудки. Свекра Бориса Тимофеича тоже не было дома: поехал к старому приятелю на именины, даже и к ужину заказал себя не дожидаться. Катерина Львовна от нечего делать рано повечерила, открыла у себя на вышке окошечко и, прислонясь к косяку, шелушила подсолнечные зернышки. Люди в кухне поужинали и расходились по двору спать: кто под сараи, кто к амбарам, кто на высокие душистые сеновалы. Позже всех вышел из кухни Сергей. Он походил по двору, спустил цепных собак, посвистал и, проходя мимо окна Катерины Львовны, поглядел на нее и низко ей поклонился. — Здравствуй, — тихо сказала ему с своей вышки Катерина Львовна, и двор смолк, словно пустыня. — Сударыня! — произнес кто-то чрез две минуты у запертой двери Катерины Львовны. — Кто это? — испугавшись, спросила Катерина Львовна. — Не извольте пугаться: это я, Сергей, — отвечал приказчик. — Что тебе, Сергей, нужно? — Дельце к вам, Катерина Ильвовна, имею: просить вашу милость об одной малости желаю; позвольте взойти на минуту. Катерина Львовна повернула ключ и впустила Сергея. — Что тебе? — спросила она, сама отходя к окошку.	Леди Макбет Мценского уезда
8	https://azbyka.ru/fiction/sobache-serdce-bulgakov/	Филипп Филиппович Преображенский 	Вот он всё ближе и ближе. Этот ест обильно и не ворует, этот не станет пинать ногой, но и сам никого не боится, а не боится потому, что вечно сыт. Он умственного труда господин, с французской остроконечной бородкой и усами седыми, пушистыми и лихими, как у французских рыцарей, но запах по метели от него летит скверный, больницей. И сигарой. Какого же лешего, спрашивается, носило его в кооператив Центрохоза? Вот он рядом… Чего ждёт? У‑у-у‑у… Что он мог покупать в дрянном магазинишке, разве ему мало охотного ряда? Что такое? Колбасу. Господин, если бы вы видели, из чего эту колбасу делают, вы бы близко не подошли к магазину. Отдайте её мне. Пёс собрал остаток сил и в безумии пополз из подворотни на тротуар. Вьюга захлопала из ружья над головой, взметнула громадные буквы полотняного плаката «Возможно ли омоложение?». Натурально, возможно. Запах омолодил меня, поднял с брюха, жгучими волнами стеснил двое суток пустующий желудок, запах, победивший больницу, райский запах рубленой кобылы с чесноком и перцем. Чувствую, знаю – в правом кармане шубы у него колбаса. Он надо мной. О, мой властитель! Глянь на меня. Я умираю. Рабская наша душа, подлая доля!	Собачье сердце
2	https://ilibrary.ru/text/439/p.1/index.html	Катерина Львовна Измайлова	Катерина Львовна не родилась красавицей, но была по наружности женщина очень приятная. Ей от роду шел всего двадцать четвертый год; росту она была невысокого, но стройная, шея точно из мрамора выточенная, плечи круглые, грудь крепкая, носик прямой, тоненький, глаза черные, живые, белый высокий лоб и черные, аж досиня черные волосы. Выдали ее замуж за нашего купца Измайлова с Тускари из Курской губернии, не по любви или какому влечению, а так, потому что Измайлов к ней присватался, а она была девушка бедная, и перебирать женихами ей не приходилось. Дом Измайловых в нашем городе был не последний: торговали они крупчаткою, держали в уезде большую мельницу в аренде, имели доходный сад под городом и в городе дом хороший. Вообще купцы были зажиточные. Семья у них к тому же была совсем небольшая: свекор Борис Тимофеич Измайлов, человек уж лет под восемьдесят, давно вдовый; сын его Зиновий Борисыч, муж Катерины Львовны, человек тоже лет пятидесяти с лишком, да сама Катерина Львовна, и только всего. Детей у Катерины Львовны, пятый год, как она вышла за Зиновия Борисыча, не было. У Зиновия Борисыча не было детей и от первой жены, с которою он прожил лет двадцать, прежде чем овдовел и женился на Катерине Львовне. Думал он и надеялся, что даст ему бог хоть от второго брака наследника купеческому имени и капиталу; но опять ему в этом и с Катериной Львовной не посчастливилось.	Леди Макбет Мценского уезда
18	https://masterimargo.ru/book-1.html	"Воланд (""иностранец"", ""неизвестный"")"	– Да, по этой пригласили, – подтвердил профессор и пояснил: – Тут в государственной библиотеке обнаружены подлинные рукописи чернокнижника Герберта Аврилакского, десятого века, так вот требуется, чтобы я их разобрал. Я единственный в мире специалист. – А-а! Вы историк? – с большим облегчением и уважением спросил Берлиоз. – Я – историк, – подтвердил ученый и добавил ни к селу ни к городу: – Сегодня вечером на Патриарших прудах будет интересная история! И опять крайне удивились и редактор и поэт, а профессор поманил обоих к себе и, когда они наклонились к нему, прошептал: – Имейте в виду, что Иисус существовал. – Видите ли, профессор, – принужденно улыбнувшись, отозвался Берлиоз, – мы уважаем ваши большие знания, но сами по этому вопросу придерживаемся другой точки зрения. – А не надо никаких точек зрения! – ответил странный профессор, – просто он существовал, и больше ничего. – Но требуется же какое-нибудь доказательство... – начал Берлиоз. – И доказательств никаких не требуется, – ответил профессор и заговорил негромко, причем его акцент почему-то пропал: – Все просто: в белом плаще...	Мастер и Маргарита
6	https://ilibrary.ru/text/12/p.6/index.html	Грушницкий	"Он довольно остер: эпиграммы его часто забавны, но никогда не бывают метки и злы: он никого не убьет одним словом; он не знает людей и их слабых струн, потому что занимался целую жизнь одним собою. Его цель — сделаться героем романа. Он так часто старался уверить других в том, что он существо, не созданное для мира, обреченное каким-то тайным страданиям, что он сам почти в этом уверился. Оттого-то он так гордо носит свою толстую солдатскую шинель. Я его понял, и он за это меня не любит, хотя мы наружно в самых дружеских отношениях. Грушницкий слывет отличным храбрецом; я его видел в деле; он махает шашкой, кричит и бросается вперед, зажмуря глаза. Это что-то не русская храбрость!..
Я его также не люблю: я чувствую, что мы когда-нибудь с ним столкнемся на узкой дороге, и одному из нас несдобровать."	Герой нашего времени
4	https://ilibrary.ru/text/96/p.1/index.html	Николай Петрович Кирсанов	Между тем Николай Петрович успел, еще при жизни родителей и к немалому их огорчению, влюбиться в дочку чиновника Преполовенского, бывшего хозяина его квартиры, миловидную и, как говорится, развитую девицу: она в журналах читала серьезные статьи в отделе «Наук». Он женился на ней, как только минул срок траура, и, покинув министерство уделов, куда по протекции отец его записал, блаженствовал со своею Машей сперва на даче около Лесного института, потом в городе, в маленькой и хорошенькой квартире, с чистою лестницей и холодноватою гостиной, наконец — в деревне, где он поселился окончательно и где у него в скором времени родился сын Аркадий. Супруги жили очень хорошо и тихо: они почти никогда не расставались, читали вместе, играли в четыре руки на фортепьяно, пели дуэты; она сажала цветы и наблюдала за птичьим двором, он изредка ездил на охоту и занимался хозяйством, а Аркадий рос да рос — тоже хорошо и тихо. Десять лет прошло как сон. В 47-м году жена Кирсанова скончалась. Он едва вынес этот удар, поседел в несколько недель; собрался было за границу, чтобы хотя немного рассеяться... но тут настал 48-й год. Он поневоле вернулся в деревню и после довольно продолжительного бездействия занялся хозяйственными преобразованиями. В 55-м году он повез сына в университет; прожил с ним три зимы в Петербурге, почти никуда не выходя и стараясь заводить знакомства с молодыми товарищами Аркадия. На последнюю зиму он приехать не мог, — и вот мы видим его в мае месяце 1859 года, уже совсем седого, пухленького и немного сгорбленного: он ждет сына, получившего, как некогда он сам, звание кандидата.	Отца и дети
13	https://masterimargo.ru/book-1.html	"Воланд (""иностранец"", ""неизвестный"")"	Берлиоз с великим вниманием слушал неприятный рассказ про саркому и трамвай, и какие-то тревожные мысли начали мучить его. «Он не иностранец! Он не иностранец! – думал он, – он престранный субъект... Но позвольте, кто же он такой?» – Вы хотите курить, как я вижу? – неожиданно обратился к Бездомному неизвестный, – вы какие предпочитаете? – А у вас разные, что ли, есть? – мрачно спросил поэт, у которого папиросы кончились. – Какие предпочитаете? – повторил неизвестный. – Ну, «Нашу марку», – злобно ответил Бездомный. Незнакомец немедленно вытащил из кармана портсигар и предложил его Бездомному: – «Наша марка». И редактора и поэта не столько поразило то, что нашлась в портсигаре именно «Наша марка», сколько сам портсигар. Он был громадных размеров, червонного золота, и на крышке его при открывании сверкнул синим и белым огнем бриллиантовый треугольник. Тут литераторы подумали разно. Берлиоз: «Нет, иностранец!», а Бездомный: «Вот черт его возьми! А?» Поэт и владелец портсигара закурили, а некурящий Берлиоз отказался. «Надо будет ему возразить так, – решил Берлиоз, – да, человек смертен, никто против этого и не спорит. А дело в том, что...» Однако он не успел выговорить этих слов, как заговорил иностранец:	Мастер и Маргарита
2	https://masterimargo.ru/book-1.html	Михаил Александрович Берлиоз	– А что есть? – спросил Берлиоз. – Абрикосовая, только теплая, – сказала женщина. – Ну, давайте, давайте, давайте!.. Абрикосовая дала обильную желтую пену, и в воздухе запахло парикмахерской. Напившись, литераторы немедленно начали икать, расплатились и уселись на скамейке лицом к пруду и спиной к Бронной. Тут приключилась вторая странность, касающаяся одного Берлиоза. Он внезапно перестал икать, сердце его стукнуло и на мгновенье куда-то провалилось, потом вернулось, но с тупой иглой, засевшей в нем. Кроме того, Берлиоза охватил необоснованный, но столь сильный страх, что ему захотелось тотчас же бежать с Патриарших без оглядки. Берлиоз тоскливо оглянулся, не понимая, что его напугало. Он побледнел, вытер лоб платком, подумал: «Что это со мной? Этого никогда не было... сердце шалит... я переутомился. Пожалуй, пора бросить все к черту и в Кисловодск...» И тут знойный воздух сгустился перед ним, и соткался из этого воздуха прозрачный гражданин престранного вида. На маленькой головке жокейский картузик, клетчатый кургузый воздушный же пиджачок... Гражданин ростом в сажень, но в плечах узок, худ неимоверно, и физиономия, прошу заметить, глумливая. Жизнь Берлиоза складывалась так, что к необыкновенным явлениям он не привык. Еще более побледнев, он вытаращил глаза и в смятении подумал: «Этого не может быть!..» Но это, увы, было, и длинный, сквозь которого видно, гражданин, не касаясь земли, качался перед ним и влево и вправо.	Мастер и Маргарита
8	https://masterimargo.ru/book-1.html	"Воланд (""иностранец"", ""неизвестный"")"	«Поляк?..» – подумал Бездомный. Необходимо добавить, что на поэта иностранец с первых же слов произвел отвратительное впечатление, а Берлиозу скорее понравился, то есть не то чтобы понравился, а... как бы выразиться... заинтересовал, что ли. – Разрешите мне присесть? – вежливо попросил иностранец, и приятели как-то невольно раздвинулись; иностранец ловко уселся между ними и тотчас вступил в разговор. – Если я не ослышался, вы изволили говорить, что Иисуса не было на свете? – спросил иностранец, обращая к Берлиозу свой левый зеленый глаз. – Нет, вы не ослышались, – учтиво ответил Берлиоз, – именно это я и говорил. – Ах, как интересно! – воскликнул иностранец. «А какого черта ему надо?» – подумал Бездомный и нахмурился. – А вы соглашались с вашим собеседником? – осведомился неизвестный, повернувшись вправо к Бездомному. – На все сто! – подтвердил тот, любя выражаться вычурно и фигурально. – Изумительно! – воскликнул непрошеный собеседник и, почему-то воровски оглянувшись и приглушив свой низкий голос, сказал: – Простите мою навязчивость, но я так понял, что вы, помимо всего прочего, еще и не верите в бога? – он сделал испуганные глаза и прибавил: – Клянусь, я никому не скажу. – Да, мы не верим в бога, – чуть улыбнувшись испугу интуриста, ответил Берлиоз. – Но об этом можно говорить совершенно свободно. Иностранец откинулся на спинку скамейки и спросил, даже привизгнув от любопытства:	Мастер и Маргарита
7	https://ru.wikisource.org/wiki/Война_и_мир_(Толстой)/Том_I/Часть_I/Глава_I	Князь Василий Курагин	"- Перестаньте шутить. Я хотела серьезно поговорить с вами. Знаете, я недовольна вашим меньшим сыном. Между нами будь сказано (лицо ее приняло грустное выражение), о нем говорили у ее величества и жалеют вас...
Князь не отвечал, но она молча, значительно глядя на него, ждала ответа. Князь Василий поморщился.
- Что вы хотите, чтоб я делал! - сказал он наконец. - Вы знаете, я сделал для их воспитания все, что может отец, и оба вышли дураки. Ипполит, по крайней мере, покойный дурак, а Анатоль - беспокойный. Вот одно различие, - сказал он, улыбаясь более неестественно и одушевленно, чем обыкновенно, и при этом особенно резко выказывая в сложившихся около его рта морщинах что-то неожиданно-грубое и неприятное.
- И зачем родятся дети у таких людей, как вы? Ежели бы вы не были отец, я бы ни в чем не могла упрекнуть вас, - сказала Анна Павловна, задумчиво поднимая глаза.
- Я ваш верный раб, вам одним могу признаться. Мои дети - обуза моего существования. - Он помолчал, выражая жестом свою покорность жестокой судьбе.
Анна Павловна задумалась."	Война и мир
16	https://masterimargo.ru/book-1.html	Поэт Иван Николаевич Понырев (Бездомный)	– Откуда вы знаете, как меня зовут? – Помилуйте, Иван Николаевич, кто же вас не знает? – здесь иностранец вытащил из кармана вчерашний номер «Литературной газеты», и Иван Николаевич увидел на первой же странице свое изображение, а под ним свои собственные стихи. Но вчера еще радовавшее доказательство славы и популярности на этот раз ничуть не обрадовало поэта. – Я извиняюсь, – сказал он, и лицо его потемнело, – вы не можете подождать минутку? Я хочу товарищу пару слов сказать. – О, с удовольствием! – воскликнул неизвестный, – здесь так хорошо под липами, а я, кстати, никуда и не спешу. – Вот что, Миша, – зашептал поэт, оттащив Берлиоза в сторону, – он никакой не интурист, а шпион. Это русский эмигрант, перебравшийся к нам. Спрашивай у него документы, а то уйдет... – Ты думаешь? – встревоженно шепнул Берлиоз, а сам подумал: «А ведь он прав!» – Уж ты мне верь, – засипел ему в ухо поэт, – он дурачком прикидывается, чтобы выспросить кое-что. Ты слышишь, как он по-русски говорит, – поэт говорил и косился, следя, чтобы неизвестный не удрал, – идем, задержим его, а то уйдет... И поэт за руку потянул Берлиоза к скамейке. Незнакомец не сидел, а стоял возле нее, держа в руках какую-то книжечку в темно-сером переплете, плотный конверт хорошей бумаги и визитную карточку.	Мастер и Маргарита
1	https://ru.wikisource.org/wiki/Война_и_мир_(Толстой)/Том_I/Часть_I/Глава_I	Анна Павловна Шерер	"- Ну, что, князь, Генуа и Лукка стали не больше, как поместьями фамилии Бонапарте. Нет, я вас предупреждаю, если вы мне не скажете, что у нас война, если вы еще позволите себе защищать все гадости, все ужасы этого Антихриста (право, я верю, что он Антихрист) - я вас больше не знаю, вы уж не друг мой, вы уж не мой верный раб, как вы говорите. Ну, здравствуйте, здравствуйте. Я вижу, что я вас пугаю, садитесь и рассказывайте.
Так говорила в июле 1805 года известная Анна Павловна Шерер, фрейлина и приближенная императрицы Марии Феодоровны, встречая важного и чиновного князя Василия, первого приехавшего на ее вечер. Анна Павловна кашляла несколько дней, у нее был грипп , как она говорила (грипп был тогда новое слово, употреблявшееся только редкими). В записочках, разосланных утром с красным лакеем, было написано без различия во всех:
Если y вас, граф (или князь), нет в виду ничего лучшего и если перспектива вечера у бедной больной не слишком вас пугает, то я буду очень рада видеть вас нынче у себя между семью и десятью часами. Анна Шерер."	Война и мир
11	https://ilibrary.ru/text/475/p.1/index.html	Захар, слуга Обломова	— Вы ничего не говорите, так что ж тут стоять-то даром? — захрипел Захар, за неимением другого голоса, который, по словам его, он потерял на охоте с собаками, когда ездил с старым барином и когда ему дунуло будто сильным ветром в горло. Он стоял вполуоборот среди комнаты и глядел все стороной на Обломова. — А у тебя разве ноги отсохли, что ты не можешь постоять? Ты видишь, я озабочен — так и подожди! Не залежался еще там? Сыщи письмо, что я вчера от старосты получил. Куда ты его дел? — Какое письмо? Я никакого письма не видал, — сказал Захар. — Ты же от почтальона принял его: грязное такое! — Куда ж его положили — почему мне знать? — говорил Захар, похлопывая рукой по бумагам и по разным вещам, лежавшим на столе. — Ты никогда ничего не знаешь. Там, в корзине, посмотри! Или не завалилось ли за диван? Вот спинка-то у дивана до сих пор не починена; что б тебе призвать столяра да починить? Ведь ты же изломал. Ни о чем не подумаешь! — Я не ломал, — отвечал Захар, — она сама изломалась; не век же ей быть: надо когда-нибудь изломаться.	Обломов
5	https://ilibrary.ru/text/12/p.6/index.html	Грушницкий	Оборачиваюсь: Грушницкий! Мы обнялись. Я познакомился с ним в действующем отряде. Он был ранен пулей в ногу и поехал на воды с неделю прежде меня. Грушницкий — юнкер. Он только год в службе, носит, по особенному роду франтовства, толстую солдатскую шинель. У него георгиевский солдатский крестик. Он хорошо сложен, смугл и черноволос; ему на вид можно дать двадцать пять лет, хотя ему едва ли двадцать один год. Он закидывает голову назад, когда говорит, и поминутно крутит усы левой рукой, ибо правою опирается на костыль. Говорит он скоро и вычурно: он из тех людей, которые на все случаи жизни имеют готовые пышные фразы, которых просто прекрасное не трогает и которые важно драпируются в необыкновенные чувства, возвышенные страсти и исключительные страдания. Производить эффект — их наслаждение; они нравятся романтическим провинциалкам до безумия. Под старость они делаются либо мирными помещиками, либо пьяницами — иногда тем и другим. В их душе часто много добрых свойств, но ни на грош поэзии. Грушницкого страсть была декламировать: он закидывал вас словами, как скоро разговор выходил из круга обыкновенных понятий; спорить с ним я никогда не мог. Он не отвечает на ваши возражения, он вас не слушает. Только что вы остановитесь, он начинает длинную тираду, по-видимому имеющую какую-то связь с тем, что вы сказали, но которая в самом деле есть только продолжение его собственной речи.	Герой нашего времени
13	https://ilibrary.ru/text/69/p.1/index.html	Родион Раскольников	"— Ну тогда и будем говорить, батюшка.
— Прощайте-с... А вы всё дома одни сидите, сестрицы-то нет? — спросил он как можно развязнее, выходя в переднюю.
— А вам какое до нее, батюшка, дело?
— Да ничего особенного. Я так спросил. Уж вы сейчас... Прощайте, Алена Ивановна!
Раскольников вышел в решительном смущении. Смущение это всё более и более увеличивалось. Сходя по лестнице, он несколько раз даже останавливался, как будто чем-то внезапно пораженный. И наконец, уже на улице, он воскликнул:
«О боже! как это всё отвратительно! И неужели, неужели я... нет, это вздор, это нелепость! — прибавил он решительно. — И неужели такой ужас мог прийти мне в голову? На какую грязь способно, однако, мое сердце! Главное: грязно, пакостно, гадко, гадко!.. И я, целый месяц...»
Но он не мог выразить ни словами, ни восклицаниями своего волнения. Чувство бесконечного отвращения, начинавшее давить и мутить его сердце еще в то время, как он только шел к старухе, достигло теперь такого размера и так ярко выяснилось, что он не знал, куда деться от тоски своей. Он шел по тротуару как пьяный, не замечая прохожих и сталкиваясь с ними, и опомнился уже в следующей улице."	Преступление и наказание
14	https://ilibrary.ru/text/439/p.3/index.html	Катерина Львовна Измайлова	— Нет, позвольте, сударыня, — произнес Сергей, трепеща всем телом и делая шаг к Катерине Львовне. — Знаю я; вижу и очень даже чувствую и понимаю, что и вам не легче моего на свете; ну только теперь, — произнес он одним придыханием, — теперь все это состоит в эту минуту в ваших руках и в вашей власти. — Ты чего? чего? Чего ты пришел ко мне? Я за окно брошусь, — говорила Катерина Львовна, чувствуя себя под несносною властью неописуемого страха, и схватилась рукою за подоконницу. — Жизнь ты моя несравненная! на что тебе бросаться? — развязно прошептал Сергей и, оторвав молодую хозяйку от окна, крепко ее обнял. — Ох! ох! пусти, — тихо стонала Катерина Львовна, слабея под горячими поцелуями Сергея, а сама мимовольно прижималась к его могучей фигуре. Сергей поднял хозяйку, как ребенка, на руки и унес ее в темный угол. В комнате наступило безмолвие, нарушавшееся только мерным тиканьем висевших над изголовьем кровати Катерины Львовны карманных часов ее мужа; но это ничему не мешало. — Иди, — говорила Катерина Львовна через полчаса, не смотря на Сергея и поправляя перед маленьким зеркальцем свои разбросанные волосы. — Чего я таперича отсюдова пойду, —отвечал ей счастливым голосом Сергей.	Леди Макбет Мценского уезда
5	https://ilibrary.ru/text/1099/p.2/index.html	Степан Аркадьевич Облонский	"Глава 2
Степан Аркадьич был человек правдивый в отношении к себе самому. Он не мог обманывать себя и уверять себя, что он раскаивается в своем поступке. Он не мог раскаиваться теперь в том, в чем он раскаивался когда-то лет шесть тому назад, когда он сделал первую неверность жене. Он не мог раскаиваться в том, что он, тридцатичетырехлетний, красивый, влюбчивый человек, не был влюблен в жену, мать пяти живых и двух умерших детей, бывшую только годом моложе его. Он раскаивался только в том, что не умел лучше скрыть от жены. Но он чувствовал всю тяжесть своего положения и жалел жену, детей и себя. Может быть, он сумел бы лучше скрыть свои грехи от жены, если б ожидал, что это известие так на нее подействует. Ясно он никогда не обдумывал этого вопроса, но смутно ему представлялось, что жена давно догадывается, что он не верен ей, и смотрит на это сквозь пальцы. Ему даже казалось, что она, истощенная, состарившаяся, уже некрасивая женщина и ничем не замечательная, простая, только добрая мать семейства, по чувству справедливости должна быть снисходительна. Оказалось совсем противное."	Анна Каренина
17	https://masterimargo.ru/book-1.html	"Воланд (""иностранец"", ""неизвестный"")"	– Извините меня, что я в пылу нашего спора забыл представить себя вам. Вот моя карточка, паспорт и приглашение приехать в Москву для консультации, – веско проговорил неизвестный, проницательно глядя на обоих литераторов. Те сконфузились. «Черт, все слышал,» – подумал Берлиоз и вежливым жестом показал, что в предъявлении документов нет надобности. Пока иностранец совал их редактору, поэт успел разглядеть на карточке напечатанное иностранными буквами слово «профессор» и начальную букву фамилии – двойное «В». – Очень приятно, – тем временем смущенно бормотал редактор, и иностранец спрятал документы в карман. Отношения таким образом были восстановлены, и все трое снова сели на скамью. – Вы в качестве консультанта приглашены к нам, профессор? – спросил Берлиоз. – Да, консультантом. – Вы – немец? – осведомился Бездомный. – Я-то?.. – Переспросил профессор и вдруг задумался. – Да, пожалуй, немец... – сказал он. – Вы по-русски здорово говорите, – заметил Бездомный. – О, я вообще полиглот и знаю очень большое количество языков, – ответил профессор. – А у вас какая специальность? – осведомился Берлиоз. – Я – специалист по черной магии. «На тебе!» – стукнуло в голове у Михаила Александровича. – И... и вас по этой специальности пригласили к нам? – заикнувшись спросил он.	Мастер и Маргарита
